PC,Shock Type,Instrument,Base Price,New Price,Base YTM (%),New YTM (%),Δ Yield (bps),Total P&L ($),Duration P&L ($),Convexity P&L ($),Residual P&L ($)
PC1 – Level,-2-sigma,2Y Treasury Note,1000000.0,1001714.3771907007,3.4799999999999995,3.390617607332745,-8.938239266725462,1714.3771907007322,1712.5111466917915,1.864411911370733,0.001632097569929103
PC1 – Level,-2-sigma,10Y Treasury Note,1000000.0,1008417.0144756737,4.08,3.977162017526709,-10.283798247329168,8417.01447567367,8375.377396819673,41.48837934349958,0.14869951049750085
PC1 – Level,-2-sigma,30Y Treasury Bond,1000000.0,1014297.2884468016,4.72,4.6313337902097285,-8.86662097902717,14297.288446801598,14150.749942897157,145.39108860923488,1.1474152952064287
PC1 – Level,-2-sigma,5Y Receive-Fixed Swap,0.0,4955.517062936793,3.65,3.540984650146773,-10.901534985322675,4955.517062936793,4941.333343719455,14.153777726300289,0.02994149103767718
PC1 – Level,Historical +Extreme,2Y Treasury Note,1000000.0,990783.1536104489,3.4799999999999995,3.9639005266331324,48.390052663313256,-9216.846389551065,-9271.233640323635,54.644959231057804,-0.25770845848776247
PC1 – Level,Historical +Extreme,10Y Treasury Note,1000000.0,955850.0137658224,4.08,4.636746719255651,55.67467192556505,-44149.9862341776,-45342.817663875445,1216.0031718105392,-23.171742112696847
PC1 – Level,Historical +Extreme,30Y Treasury Bond,1000000.0,927476.7287176833,4.72,5.2000232387132606,48.002323871326055,-72523.27128231665,-76609.66713112238,4261.338420526111,-174.94257172038579
PC1 – Level,Historical +Extreme,5Y Receive-Fixed Swap,0.0,-26341.367131726933,3.65,4.240189897930509,59.01898979305091,-26341.367131726933,-26751.508165563955,414.83998364422627,-4.69894980720386
PC1 – Level,Historical -Extreme,2Y Treasury Note,1000000.0,1007637.7461563001,3.4799999999999995,3.0832817861428126,-39.67182138571872,7637.746156300069,7600.87465833732,36.72841582521758,0.14308213753085397
PC1 – Level,Historical -Extreme,10Y Treasury Note,1000000.0,1038004.0340390878,4.08,3.6235599841754174,-45.644001582458294,38004.03403908783,37173.5938376083,817.3099727313426,13.130228748184322
PC1 – Level,Historical -Extreme,30Y Treasury Bond,1000000.0,1065773.946135241,4.72,4.3264605194847325,-39.35394805152676,65773.94613524107,62807.22717934658,2864.165545796673,102.5534100978225
PC1 – Level,Historical -Extreme,5Y Receive-Fixed Swap,0.0,22213.261260414612,3.65,3.1661421216615886,-48.38578783384111,22213.261260414612,21931.801999204185,278.8256343240513,2.6336268863766463
PC2 – Slope,1-sigma,2Y Treasury Note,1000000.0,1000027.2386998666,3.4799999999999995,3.4785783345043475,-0.14216654956523966,27.23869986657519,27.238228195962876,0.0004716640359840114,6.576329334882173e-09
PC2 – Slope,1-sigma,10Y Treasury Note,1000000.0,998278.6791034217,4.08,4.101156971363339,2.115697136333833,-1721.3208965782542,-1723.075613503847,1.756007518761173,-0.0012905931682709593
PC2 – Slope,1-sigma,30Y Treasury Bond,1000000.0,996190.3259034234,4.72,4.743937030057998,2.393703005799802,-3809.6740965766367,-3820.2481816642116,10.596489946113815,-0.02240485853882923
PC2 – Slope,1-sigma,5Y Receive-Fixed Swap,0.0,-594.345502440352,3.65,3.663116928355376,1.3116928355376423,-594.345502440352,-594.5503595306973,0.20490915302765522,-5.206268236968015e-05
PC2 – Slope,2-sigma,2Y Treasury Note,1000000.0,1000054.4783431005,3.4799999999999995,3.477156669008694,-0.2843330991305487,54.47834310051985,54.476456391939045,0.0018866561439369667,5.24368684517388e-08
